x;y;datetime;smd50upveg;distroad;elevation;day
698703,7448;7225416,032;2010-08-01 08:53;Coni;538,5164795;264;1
698695,7301;7225476,959;2010-08-01 08:55;Coni;570,0877075;265;1
698684,4624;7225580,506;2010-08-01 08:57;Coni;604,1522827;328;1
698695,0414;7225535,211;2010-08-01 08:59;Coni;585,2349854;278;1
698667,5329;7225631,523;2010-08-01 09:01;Coni;670,8203735;281;1
698505,3429;7225497,159;2010-08-01 09:03;Coni;761,5773315;266;1
698450,9785;7225481,036;2010-08-01 09:05;Coni;807,7747192;262;1
698368,6864;7225581,688;2010-08-01 09:07;Coni;934,0770874;272;1
698273,0407;7225668,41;2010-08-01 09:09;Coni;1044,03064;254;1
698209,8182;7225667,344;2010-08-01 09:11;Coni;1092,016479;255;1
698111,8503;7225568,22;2010-08-01 09:13;Mire;1154,3396;257;1
698034,7968;7225618,942;2010-08-01 09:15;Coni;1217,57959;261;1
697889,1588;7225650,181;2010-08-01 09:17;Coni;1375,681641;273;1
697883,7778;7225646,097;2010-08-01 09:19;Coni;1375,681641;271;1
697879,6475;7225642,095;2010-08-01 09:21;Coni;1375,681641;281;1
697884,7517;7225633,869;2010-08-01 09:23;Coni;1375,681641;288;1
697885,1851;7225646,191;2010-08-01 09:25;Coni;1375,681641;266;1
697871,2605;7225646,564;2010-08-01 09:27;Coni;1423,024902;283;1
697884,0848;7225636,805;2010-08-01 09:29;Coni;1375,681641;260;1
697879,9013;7225647,7;2010-08-01 09:31;Coni;1375,681641;275;1
697883,8427;7225649,826;2010-08-01 09:33;Coni;1375,681641;267;1
697892,6676;7225609,441;2010-08-01 09:35;Coni;1360,147095;209;1
697864,8075;7225637,379;2010-08-01 09:37;Coni;1423,024902;235;1
697876,9208;7225652,343;2010-08-01 09:39;Coni;1423,024902;295;1
697876,6347;7225629,602;2010-08-01 09:41;Coni;1423,024902;270;1
697870,312;7225639,609;2010-08-01 09:43;Coni;1423,024902;265;1
697872,8687;7225633,075;2010-08-01 09:45;Coni;1423,024902;278;1
697878,7952;7225629,001;2010-08-01 09:47;Coni;1423,024902;261;1
697872,1655;7225633,028;2010-08-01 09:49;Coni;1423,024902;249;1
697881,7185;7225653,409;2010-08-01 09:51;Coni;1375,681641;278;1
697880,273;7225642,137;2010-08-01 09:53;Coni;1375,681641;277;1
697881,459;7225638,492;2010-08-01 09:55;Coni;1375,681641;270;1
697879,3129;7225647,102;2010-08-01 09:57;Coni;1375,681641;282;1
697880,0329;7225632,809;2010-08-01 09:59;Coni;1375,681641;254;1
697879,8957;7225638,387;2010-08-01 10:01;Coni;1375,681641;253;1
697882,7191;7225633,733;2010-08-01 10:03;Coni;1375,681641;286;1
697882,0785;7225629,22;2010-08-01 10:05;Coni;1375,681641;277;1
697881,6804;7225642,232;2010-08-01 10:07;Coni;1375,681641;259;1
697884,7693;7225631,263;2010-08-01 10:09;Coni;1375,681641;254;1
697875,7002;7225630,657;2010-08-01 10:11;Coni;1423,024902;281;1
697881,7812;7225633,671;2010-08-01 10:13;Coni;1375,681641;265;1
697884,4069;7225631,984;2010-08-01 10:15;Coni;1375,681641;264;1
697877,7933;7225636,943;2010-08-01 10:17;Coni;1423,024902;260;1
697881,9709;7225647,28;2010-08-01 10:19;Coni;1375,681641;285;1
697884,7195;7225632,004;2010-08-01 10:21;Coni;1375,681641;274;1
697887,9025;7225640,785;2010-08-01 10:23;Coni;1375,681641;244;1
697878,8009;7225638,314;2010-08-01 10:25;Coni;1423,024902;276;1
697878,3908;7225632,699;2010-08-01 10:27;Coni;1423,024902;273;1
697884,7041;7225627,533;2010-08-01 10:29;Coni;1375,681641;277;1
697882,3054;7225642,273;2010-08-01 10:31;Coni;1375,681641;291;1
697880,9229;7225641,808;2010-08-01 10:33;Coni;1375,681641;298;1
697886,5213;7225633,242;2010-08-01 10:35;Coni;1375,681641;284;1
697878,229;7225623,376;2010-08-01 10:37;Coni;1423,024902;241;1
697885,8467;7225633,942;2010-08-01 10:39;Coni;1375,681641;252;1
697878,888;7225637,016;2010-08-01 10:41;Coni;1423,024902;246;1
697880,5303;7225633,587;2010-08-01 10:43;Coni;1375,681641;270;1
697873,2693;7225643,532;2010-08-01 10:45;Coni;1423,024902;279;1
697879,1919;7225638,34;2010-08-01 10:47;Coni;1375,681641;266;1
697886,5311;7225628,401;2010-08-01 10:49;Coni;1375,681641;254;1
697879,0813;7225636,47;2010-08-01 10:51;Coni;1423,024902;267;1
697875,9215;7225588,579;2010-08-01 10:53;Coni;1408,012817;209;1
697880,0135;7225627,22;2010-08-01 10:55;Coni;1375,681641;267;1
697888,6285;7225632,266;2010-08-01 10:57;Coni;1375,681641;268;1
697884,8856;7225642,446;2010-08-01 10:59;Coni;1375,681641;269;1
697888,9599;7225653,148;2010-08-01 11:01;Coni;1375,681641;319;1
697881,9281;7225638,523;2010-08-01 11:03;Coni;1375,681641;272;1
